Year,Year ending,Police Service Area,Local Government Area,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"PSA Rate per 100,000 population","LGA Rate per 100,000 population"
2025,September,Ballarat,Ballarat,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences, 5 , 3.8 , 4.0 
2025,September,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault, 257 , 194.9 , 207.6 
2025,September,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault, 172 , 130.5 , 138.9 
2025,September,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer", 91 , 69.0 , 73.5 
2025,September,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault, 349 , 264.7 , 281.9 
2025,September,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault, 331 , 251.0 , 267.3 
2025,September,Ballarat,Ballarat,A Crimes against the person,A30 Sexual offences,A30 Sexual offences, 293 , 222.2 , 236.6 
2025,September,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 6 , 4.6 , 4.8 
2025,September,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 12 , 9.1 , 9.7 
2025,September,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A51 Aggravated robbery, 53 , 40.2 , 42.8 
2025,September,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 3 , 2.3 , 2.4 
2025,September,Ballarat,Ballarat,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 8 , 6.1 , 6.5 
2025,September,Ballarat,Ballarat,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 3 , 2.3 , 2.4 
2025,September,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking, 36 , 27.3 , 29.1 
2025,September,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 16 , 12.1 , 12.9 
2025,September,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 40 , 30.3 , 32.3 
2025,September,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 24 , 18.2 , 19.4 
2025,September,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour, 97 , 73.6 , 78.3 
2025,September,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour, 62 , 47.0 , 50.1 
2025,September,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving, 252 , 191.1 , 203.5 
2025,September,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 28 , 21.2 , 22.6 
2025,September,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people, 78 , 59.2 , 63.0 
2025,September,Ballarat,Ballarat,B Property and deception offences,B10 Arson,B11 Cause damage by fire, 119 , 90.3 , 96.1 
2025,September,Ballarat,Ballarat,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 1 , 0.8 , 0.8 
2025,September,Ballarat,Ballarat,B Property and deception offences,B10 Arson,B19 Other fire related offences, 21 , 15.9 , 17.0 
2025,September,Ballarat,Ballarat,B Property and deception offences,B20 Property damage,B21 Criminal damage," 1,140 ", 864.6 , 920.7 
2025,September,Ballarat,Ballarat,B Property and deception offences,B20 Property damage,B22 Graffiti, 97 , 73.6 , 78.3 
2025,September,Ballarat,Ballarat,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 6 , 4.6 , 4.8 
2025,September,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary, 157 , 119.1 , 126.8 
2025,September,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 3 , 2.3 , 2.4 
2025,September,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 1 , 0.8 , 0.8 
2025,September,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary, 463 , 351.2 , 373.9 
2025,September,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary, 351 , 266.2 , 283.5 
2025,September,Ballarat,Ballarat,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 2 , 1.5 , 1.6 
2025,September,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B41 Motor vehicle theft, 764 , 579.4 , 617.0 
2025,September,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 1,743 "," 1,322.0 "," 1,407.7 "
2025,September,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B43 Steal from a retail store, 994 , 753.9 , 802.8 
2025,September,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B44 Theft of a bicycle, 61 , 46.3 , 49.3 
2025,September,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods, 406 , 307.9 , 327.9 
2025,September,Ballarat,Ballarat,B Property and deception offences,B40 Theft,B49 Other theft," 1,340 "," 1,016.3 "," 1,082.2 "
2025,September,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting, 83 , 63.0 , 67.0 
2025,September,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception, 393 , 298.1 , 317.4 
2025,September,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B54 State false information, 6 , 4.6 , 4.8 
2025,September,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 4 , 3.0 , 3.2 
2025,September,Ballarat,Ballarat,B Property and deception offences,B50 Deception,B59 Other deception offences, 1 , 0.8 , 0.8 
2025,September,Ballarat,Ballarat,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 3 , 2.3 , 2.4 
2025,September,Ballarat,Ballarat,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking, 36 , 27.3 , 29.1 
2025,September,Ballarat,Ballarat,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 13 , 9.9 , 10.5 
2025,September,Ballarat,Ballarat,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 29 , 22.0 , 23.4 
2025,September,Ballarat,Ballarat,C Drug offences,C30 Drug use and possession,C31 Drug use, 2 , 1.5 , 1.6 
2025,September,Ballarat,Ballarat,C Drug offences,C30 Drug use and possession,C32 Drug possession, 457 , 346.6 , 369.1 
2025,September,Ballarat,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences, 197 , 149.4 , 159.1 
2025,September,Ballarat,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences, 263 , 199.5 , 212.4 
2025,September,Ballarat,Ballarat,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 5 , 3.8 , 4.0 
2025,September,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 34 , 25.8 , 27.5 
2025,September,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public, 1 , 0.8 , 0.8 
2025,September,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct, 34 , 25.8 , 27.5 
2025,September,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 25 , 19.0 , 20.2 
2025,September,Ballarat,Ballarat,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 4 , 3.0 , 3.2 
2025,September,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 8 , 6.1 , 6.5 
2025,September,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 16 , 12.1 , 12.9 
2025,September,Ballarat,Ballarat,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space, 67 , 50.8 , 54.1 
2025,September,Ballarat,Ballarat,D Public order and security offences,D40 Public security offences,D43 Hacking, 3 , 2.3 , 2.4 
2025,September,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 6 , 4.6 , 4.8 
2025,September,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer, 288 , 218.4 , 232.6 
2025,September,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 10 , 7.6 , 8.1 
2025,September,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 19 , 14.4 , 15.3 
2025,September,Ballarat,Ballarat,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences, 47 , 35.6 , 38.0 
2025,September,Ballarat,Ballarat,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 1,768 "," 1,340.9 "," 1,427.9 "
2025,September,Ballarat,Ballarat,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order, 127 , 96.3 , 102.6 
2025,September,Ballarat,Ballarat,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions, 465 , 352.7 , 375.5 
2025,September,Ballarat,Ballarat,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders, 49 , 37.2 , 39.6 
2025,September,Ballarat,Ballarat,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 20 , 15.2 , 16.2 
2025,September,Ballarat,Ballarat,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 3 , 2.3 , 2.4 
2025,September,Ballarat,Ballarat,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 1 , 0.8 , 0.8 
2025,September,Ballarat,Ballarat,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences, 2 , 1.5 , 1.6 
2025,September,Ballarat,Ballarat,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 3 , 2.3 , 2.4 
2025,September,Ballarat,Ballarat,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 1 , 0.8 , 0.8 
