"Year","LGA","Offence","Rate","Type"
2025,"BALLARAT","Serious assault",207.6,"FV"
2025,"BALLARAT","Serious assault",138.9,"Non-FV"
2025,"BALLARAT","Common assault",281.9,"FV"
2025,"BALLARAT","Common assault",267.3,"Non-FV"
2025,"BALLARAT","Stalking",29.1,"FV"
2025,"BALLARAT","Stalking",12.9,"Non-FV"
2025,"BALLARAT","Harassment and private nuisance",32.3,"FV"
2025,"BALLARAT","Harassment and private nuisance",19.4,"Non-FV"
2025,"BALLARAT","Threatening behaviour",78.3,"FV"
2025,"BALLARAT","Threatening behaviour",50.1,"Non-FV"
2025,"PYRENEES","Serious assault",249.1,"FV"
2025,"PYRENEES","Serious assault",112.1,"Non-FV"
2025,"PYRENEES","Common assault",211.7,"FV"
2025,"PYRENEES","Common assault",112.1,"Non-FV"
2025,"PYRENEES","Stalking",12.5,"Non-FV"
2025,"PYRENEES","Threatening behaviour",12.5,"Non-FV"
2025,"BANYULE","Serious assault",98.5,"FV"
2025,"BANYULE","Serious assault",81.2,"Non-FV"
2025,"BANYULE","Common assault",124.1,"FV"
2025,"BANYULE","Common assault",155.7,"Non-FV"
2025,"BANYULE","Stalking",20.3,"FV"
2025,"BANYULE","Stalking",24.8,"Non-FV"
2025,"BANYULE","Harassment and private nuisance",31.6,"FV"
2025,"BANYULE","Harassment and private nuisance",21.1,"Non-FV"
2025,"BANYULE","Threatening behaviour",45.1,"FV"
2025,"BANYULE","Threatening behaviour",39.9,"Non-FV"
2025,"NILLUMBIK","Serious assault",46.9,"FV"
2025,"NILLUMBIK","Serious assault",50.1,"Non-FV"
2025,"NILLUMBIK","Common assault",108,"FV"
2025,"NILLUMBIK","Common assault",98.6,"Non-FV"
2025,"NILLUMBIK","Stalking",15.6,"FV"
2025,"NILLUMBIK","Stalking",9.4,"Non-FV"
2025,"NILLUMBIK","Harassment and private nuisance",18.8,"FV"
2025,"NILLUMBIK","Harassment and private nuisance",6.3,"Non-FV"
2025,"NILLUMBIK","Threatening behaviour",23.5,"FV"
2025,"NILLUMBIK","Threatening behaviour",17.2,"Non-FV"
2025,"BASS COAST","Serious assault",157.9,"FV"
2025,"BASS COAST","Serious assault",110.5,"Non-FV"
2025,"BASS COAST","Common assault",426.4,"FV"
2025,"BASS COAST","Common assault",169.2,"Non-FV"
2025,"BASS COAST","Stalking",76.7,"FV"
2025,"BASS COAST","Stalking",20.3,"Non-FV"
2025,"BASS COAST","Harassment and private nuisance",65.4,"FV"
2025,"BASS COAST","Harassment and private nuisance",33.8,"Non-FV"
2025,"BASS COAST","Threatening behaviour",101.5,"FV"
2025,"BASS COAST","Threatening behaviour",67.7,"Non-FV"
2025,"SOUTH GIPPSLAND","Serious assault",147.1,"FV"
2025,"SOUTH GIPPSLAND","Serious assault",76.8,"Non-FV"
2025,"SOUTH GIPPSLAND","Common assault",259,"FV"
2025,"SOUTH GIPPSLAND","Common assault",124.7,"Non-FV"
2025,"SOUTH GIPPSLAND","Stalking",44.8,"FV"
2025,"SOUTH GIPPSLAND","Stalking",6.4,"Non-FV"
2025,"SOUTH GIPPSLAND","Harassment and private nuisance",54.4,"FV"
2025,"SOUTH GIPPSLAND","Harassment and private nuisance",12.8,"Non-FV"
2025,"SOUTH GIPPSLAND","Threatening behaviour",118.3,"FV"
2025,"SOUTH GIPPSLAND","Threatening behaviour",51.2,"Non-FV"
2025,"BAW BAW","Serious assault",199.7,"FV"
2025,"BAW BAW","Serious assault",141,"Non-FV"
2025,"BAW BAW","Common assault",329.6,"FV"
2025,"BAW BAW","Common assault",213.9,"Non-FV"
2025,"BAW BAW","Stalking",60.2,"FV"
2025,"BAW BAW","Stalking",11.1,"Non-FV"
2025,"BAW BAW","Harassment and private nuisance",47.5,"FV"
2025,"BAW BAW","Harassment and private nuisance",12.7,"Non-FV"
2025,"BAW BAW","Threatening behaviour",72.9,"FV"
2025,"BAW BAW","Threatening behaviour",72.9,"Non-FV"
2025,"BENALLA","Serious assault",312.1,"FV"
2025,"BENALLA","Serious assault",142.5,"Non-FV"
2025,"BENALLA","Common assault",318.9,"FV"
2025,"BENALLA","Common assault",183.2,"Non-FV"
2025,"BENALLA","Stalking",33.9,"FV"
2025,"BENALLA","Stalking",13.6,"Non-FV"
2025,"BENALLA","Harassment and private nuisance",67.8,"FV"
2025,"BENALLA","Harassment and private nuisance",13.6,"Non-FV"
2025,"BENALLA","Threatening behaviour",40.7,"FV"
2025,"BENALLA","Threatening behaviour",61.1,"Non-FV"
